index_ecoreg,stand_bins,ENFW,DBFM,Shrubs,Herb_Sparse,Wetlands,Barren
BOREAL PLAIN,40-49,0.4101346776408577,0.345845639087216,0.07553984049601009,0.08530307835792993,0.08158324695252539,0.0015935174654609133
BOREAL PLAIN,50-59,0.42649304626459916,0.33103461834019815,0.06325850157685713,0.08398912367089775,0.09375616866552502,0.0014685414819227934
BOREAL PLAIN,>60,0.4564990954502761,0.312001565682097,0.06339994072821413,0.057726716276071996,0.10935077649863655,0.0010219053647041478
TAIGA CORDILLERA,pre-fire,0.7529359023554802,0.008961930418172934,0.1230416284706268,0.06206884381526557,0.04259252001680524,0.010399174923649147
TAIGA CORDILLERA,-01,0.7413905034094442,0.009451928376124769,0.11864279035097029,0.07863926093490592,0.0428466784219393,0.009028838506615455
TAIGA CORDILLERA,00,0.36899101431079245,0.006392505278243558,0.07658623087472119,0.4847106468571597,0.03601519728539573,0.02730440539368737
TAIGA CORDILLERA,01,0.25863779073483095,0.004192103444589186,0.07644923933058942,0.5914891542416928,0.04204011768858754,0.027191594559710056
TAIGA CORDILLERA,02-05,0.21873133494571145,0.003703018080499374,0.15152990766905963,0.5283435498081204,0.07574250296437746,0.021949686532231696
TAIGA CORDILLERA,06-09,0.2074150321930522,0.004247428882181649,0.26463071245032654,0.3770974586833717,0.12928565476420067,0.017323713026867183
TAIGA CORDILLERA,10-19,0.27011449595112186,0.01416569928732315,0.3030510892399769,0.2366414296187713,0.16007409740763864,0.015953188495168122
TAIGA CORDILLERA,20-29,0.4061493649175073,0.023702177855165516,0.2605986434975556,0.12585924255080538,0.1654144209166023,0.018276150262363882
TAIGA CORDILLERA,30-39,0.5162440263459415,0.03872215789404369,0.2216639921181904,0.07698086914435474,0.12893551122244643,0.01745344327502324
TAIGA CORDILLERA,40-49,0.5979440929786783,0.04947239569586773,0.18332799462479513,0.05700038101957497,0.09697531154534286,0.015279824135741006
TAIGA CORDILLERA,50-59,0.7298185889029573,0.05803344991231423,0.12322580430773934,0.03835974306163683,0.04107865264371277,0.009483761171639528
