s,age,PFT,relative_mean
Control,74,Non-tree V.,0.10865365445345664
Control,74,Temperate broadleaf,0.01232838479028946
Control,74,Conifers (other),0.23899610345536768
Control,74,Pioneering broadleaf,0.24894334925999206
Control,74,Needleleaf evergreen,0.3910785080408936
Control,75,Non-tree V.,0.10492231382613891
Control,75,Temperate broadleaf,0.012456983224770601
Control,75,Conifers (other),0.23884888554336603
Control,75,Pioneering broadleaf,0.2507476946975628
Control,75,Needleleaf evergreen,0.39302412270816023
Control,76,Non-tree V.,0.10122662068191669
Control,76,Temperate broadleaf,0.012575066275403057
Control,76,Conifers (other),0.23883015174887198
Control,76,Pioneering broadleaf,0.2523717321735955
Control,76,Needleleaf evergreen,0.3949964291202133
Control,77,Non-tree V.,0.09858790885862648
Control,77,Temperate broadleaf,0.012687955337261194
Control,77,Conifers (other),0.2385144547640527
Control,77,Pioneering broadleaf,0.25369626424217884
Control,77,Needleleaf evergreen,0.3965134167978797
Control,78,Non-tree V.,0.09501691705272203
Control,78,Temperate broadleaf,0.012811556020026208
Control,78,Conifers (other),0.23869378477735534
Control,78,Pioneering broadleaf,0.2549651277609128
Control,78,Needleleaf evergreen,0.39851261438898394
Control,79,Non-tree V.,0.09207195402419607
Control,79,Temperate broadleaf,0.012952124596959573
Control,79,Conifers (other),0.23858020551290707
Control,79,Pioneering broadleaf,0.256357150365992
Control,79,Needleleaf evergreen,0.4000385654999438
Control,80,Non-tree V.,0.08928517962421374
Control,80,Temperate broadleaf,0.013077397058602459
Control,80,Conifers (other),0.23841514319648882
Control,80,Pioneering broadleaf,0.2576530886440457
Control,80,Needleleaf evergreen,0.4015691914766507
Control,81,Non-tree V.,0.08668589411575142
Control,81,Temperate broadleaf,0.013203469593289496
Control,81,Conifers (other),0.23825791055071505
Control,81,Pioneering broadleaf,0.25890072974078404
Control,81,Needleleaf evergreen,0.4029519959994595
Control,82,Non-tree V.,0.08552049200496362
Control,82,Temperate broadleaf,0.01332417984156523
Control,82,Conifers (other),0.23778572759672847
Control,82,Pioneering broadleaf,0.25988258546900267
Control,82,Needleleaf evergreen,0.4034870150877379
Control,83,Non-tree V.,0.08330110290415627
Control,83,Temperate broadleaf,0.013450843235965347
Control,83,Conifers (other),0.23765346892436887
Control,83,Pioneering broadleaf,0.26076652064530487
Control,83,Needleleaf evergreen,0.40482806429020435
Control,84,Non-tree V.,0.08111425037185217
Control,84,Temperate broadleaf,0.013406604122911453
Control,84,Conifers (other),0.23745516364265956
Control,84,Pioneering broadleaf,0.2617672936866563
Control,84,Needleleaf evergreen,0.4062566881759212
Control,85,Non-tree V.,0.07934266655269119
Control,85,Temperate broadleaf,0.013369859608256172
Control,85,Conifers (other),0.23709421216711707
Control,85,Pioneering broadleaf,0.2626935028932182
Control,85,Needleleaf evergreen,0.4074121700951738
Control,86,Non-tree V.,0.07781106425862316
Control,86,Temperate broadleaf,0.01342334939740892
Control,86,Conifers (other),0.2366825198473372
Control,86,Pioneering broadleaf,0.26352424237670735
Control,86,Needleleaf evergreen,0.40847123543637837
Control,87,Non-tree V.,0.07725227391255385
Control,87,Temperate broadleaf,0.013383207316925752
Control,87,Conifers (other),0.23570974635453976
Control,87,Pioneering broadleaf,0.2644044221626609
Control,87,Needleleaf evergreen,0.40916276156977505
Control,88,Non-tree V.,0.07560414655043567
Control,88,Temperate broadleaf,0.013284998406045495
Control,88,Conifers (other),0.23539086812022264
Control,88,Pioneering broadleaf,0.26530312097928177
Control,88,Needleleaf evergreen,0.4103292772604736
Control,89,Non-tree V.,0.0738825297648155
Control,89,Temperate broadleaf,0.0132235555919241
Control,89,Conifers (other),0.23476609859847483
Control,89,Pioneering broadleaf,0.26612599787143343
Control,89,Needleleaf evergreen,0.4119142294898132
Control,90,Non-tree V.,0.07254561797540435
Control,90,Temperate broadleaf,0.013242876833902729
Control,90,Conifers (other),0.2341105535574111
Control,90,Pioneering broadleaf,0.26682494906373727
Control,90,Needleleaf evergreen,0.41310082520246216
Control,91,Non-tree V.,0.07113746789954149
Control,91,Temperate broadleaf,0.013215803385702487
Control,91,Conifers (other),0.23371785236643292
Control,91,Pioneering broadleaf,0.2673928592096299
Control,91,Needleleaf evergreen,0.4143608397716126
Control,92,Non-tree V.,0.07111682529866051
Control,92,Temperate broadleaf,0.013146035285264772
Control,92,Conifers (other),0.23307383670193688
Control,92,Pioneering broadleaf,0.26779062565294204
Control,92,Needleleaf evergreen,0.41478508837765565
Control,93,Non-tree V.,0.06996358056391898
Control,93,Temperate broadleaf,0.012924314170955506
Control,93,Conifers (other),0.23268037451660228
Control,93,Pioneering broadleaf,0.26855999104695716
Control,93,Needleleaf evergreen,0.415871739701564
Control,94,Non-tree V.,0.06871803174485032
Control,94,Temperate broadleaf,0.012871024594743664
Control,94,Conifers (other),0.2325068032574986
Control,94,Pioneering broadleaf,0.2690129341105779
Control,94,Needleleaf evergreen,0.41689120629232773
Control,95,Non-tree V.,0.06753733160503378
Control,95,Temperate broadleaf,0.012753350730375255
Control,95,Conifers (other),0.23204116190822946
Control,95,Pioneering broadleaf,0.26948386674131675
Control,95,Needleleaf evergreen,0.41818428901504107
Control,96,Non-tree V.,0.06643859036651624
