s,age,class,mean_diff
SSP1-RCP2.6,49,Direct conifer recovery,0.3437282888503896
SSP1-RCP2.6,49,Deciduous transient,0.6724138111841508
SSP1-RCP2.6,50,Direct conifer recovery,0.3492410930363234
SSP1-RCP2.6,50,Deciduous transient,0.687722779964999
SSP1-RCP2.6,51,Direct conifer recovery,0.3561596593341488
SSP1-RCP2.6,51,Deciduous transient,0.703095859534347
SSP1-RCP2.6,52,Direct conifer recovery,0.3631790837434769
SSP1-RCP2.6,52,Deciduous transient,0.7181109055189459
SSP1-RCP2.6,53,Direct conifer recovery,0.36956697533569094
SSP1-RCP2.6,53,Deciduous transient,0.7332277939850866
SSP1-RCP2.6,54,Direct conifer recovery,0.37554080573805404
SSP1-RCP2.6,54,Deciduous transient,0.7483514618564884
SSP1-RCP2.6,55,Direct conifer recovery,0.38146967502213985
SSP1-RCP2.6,55,Deciduous transient,0.763554648174748
SSP1-RCP2.6,56,Direct conifer recovery,0.388226690156016
SSP1-RCP2.6,56,Deciduous transient,0.7786167061224512
SSP1-RCP2.6,57,Direct conifer recovery,0.39479726324747855
SSP1-RCP2.6,57,Deciduous transient,0.7935922167327438
SSP1-RCP2.6,58,Direct conifer recovery,0.4005571473769342
SSP1-RCP2.6,58,Deciduous transient,0.8081161302030875
SSP1-RCP2.6,59,Direct conifer recovery,0.40637585476108035
SSP1-RCP2.6,59,Deciduous transient,0.8229488043851436
SSP1-RCP2.6,60,Direct conifer recovery,0.41244907577188344
SSP1-RCP2.6,60,Deciduous transient,0.8377249797024862
SSP1-RCP2.6,61,Direct conifer recovery,0.41940142826162363
SSP1-RCP2.6,61,Deciduous transient,0.8525980096359224
SSP1-RCP2.6,62,Direct conifer recovery,0.42611441013369034
SSP1-RCP2.6,62,Deciduous transient,0.8658610438882275
SSP1-RCP2.6,63,Direct conifer recovery,0.43291015522911674
SSP1-RCP2.6,63,Deciduous transient,0.8793866475595163
SSP1-RCP2.6,64,Direct conifer recovery,0.4393760692937398
SSP1-RCP2.6,64,Deciduous transient,0.893013576869407
SSP1-RCP2.6,65,Direct conifer recovery,0.44601354916615993
SSP1-RCP2.6,65,Deciduous transient,0.9072224588212241
SSP1-RCP2.6,66,Direct conifer recovery,0.4523648105021941
SSP1-RCP2.6,66,Deciduous transient,0.9211101769909622
SSP1-RCP2.6,67,Direct conifer recovery,0.45949968281941406
SSP1-RCP2.6,67,Deciduous transient,0.934923347142468
SSP1-RCP2.6,68,Direct conifer recovery,0.4667201177498457
SSP1-RCP2.6,68,Deciduous transient,0.9476882318741476
SSP1-RCP2.6,69,Direct conifer recovery,0.47338632997806884
SSP1-RCP2.6,69,Deciduous transient,0.9608420043580571
SSP1-RCP2.6,70,Direct conifer recovery,0.4800422447462299
SSP1-RCP2.6,70,Deciduous transient,0.9745842283976842
SSP1-RCP2.6,71,Direct conifer recovery,0.4869853500046609
SSP1-RCP2.6,71,Deciduous transient,0.9883065221356337
SSP1-RCP2.6,72,Direct conifer recovery,0.49457809335787184
SSP1-RCP2.6,72,Deciduous transient,NA
SSP1-RCP2.6,73,Direct conifer recovery,0.5020678830146096
SSP1-RCP2.6,73,Deciduous transient,NA
SSP1-RCP2.6,74,Direct conifer recovery,0.508864598543649
SSP1-RCP2.6,74,Deciduous transient,NA
SSP1-RCP2.6,75,Direct conifer recovery,0.5161026860024095
SSP1-RCP2.6,75,Deciduous transient,NA
SSP1-RCP2.6,76,Direct conifer recovery,0.5236409467664972
SSP1-RCP2.6,76,Deciduous transient,NA
SSP1-RCP2.6,77,Direct conifer recovery,0.5312276909647548
SSP1-RCP2.6,77,Deciduous transient,NA
SSP1-RCP2.6,78,Direct conifer recovery,0.5381321966693271
SSP1-RCP2.6,78,Deciduous transient,NA
SSP1-RCP2.6,79,Direct conifer recovery,0.545097128590591
SSP1-RCP2.6,79,Deciduous transient,NA
SSP1-RCP2.6,80,Direct conifer recovery,0.5521289632075115
SSP1-RCP2.6,80,Deciduous transient,NA
SSP1-RCP2.6,81,Direct conifer recovery,0.5591816179634386
SSP1-RCP2.6,81,Deciduous transient,NA
SSP1-RCP2.6,82,Direct conifer recovery,0.5668425962256786
SSP1-RCP2.6,82,Deciduous transient,NA
SSP1-RCP2.6,83,Direct conifer recovery,0.5745778520431108
SSP1-RCP2.6,83,Deciduous transient,NA
SSP1-RCP2.6,84,Direct conifer recovery,0.5822810694579997
SSP1-RCP2.6,84,Deciduous transient,NA
SSP1-RCP2.6,85,Direct conifer recovery,0.5900519982848254
SSP1-RCP2.6,85,Deciduous transient,NA
SSP1-RCP2.6,86,Direct conifer recovery,0.5983989289093733
SSP1-RCP2.6,86,Deciduous transient,NA
SSP1-RCP2.6,87,Direct conifer recovery,0.6064384643612514
SSP1-RCP2.6,87,Deciduous transient,NA
SSP1-RCP2.6,88,Direct conifer recovery,0.6145431020473757
SSP1-RCP2.6,88,Deciduous transient,NA
SSP1-RCP2.6,89,Direct conifer recovery,0.6226068170665768
SSP1-RCP2.6,89,Deciduous transient,NA
SSP1-RCP2.6,90,Direct conifer recovery,0.630867295872189
SSP1-RCP2.6,90,Deciduous transient,NA
SSP1-RCP2.6,91,Direct conifer recovery,0.6387869335311488
SSP1-RCP2.6,91,Deciduous transient,NA
SSP1-RCP2.6,92,Direct conifer recovery,0.646775892457905
SSP1-RCP2.6,92,Deciduous transient,NA
SSP1-RCP2.6,93,Direct conifer recovery,0.654456981468194
SSP1-RCP2.6,93,Deciduous transient,NA
SSP1-RCP2.6,94,Direct conifer recovery,0.6626415089068166
SSP1-RCP2.6,94,Deciduous transient,NA
SSP1-RCP2.6,95,Direct conifer recovery,0.6703003410341293
SSP1-RCP2.6,95,Deciduous transient,NA
SSP1-RCP2.6,96,Direct conifer recovery,0.6780581927407228
SSP1-RCP2.6,96,Deciduous transient,NA
SSP1-RCP2.6,97,Direct conifer recovery,0.6852118576556777
SSP1-RCP2.6,97,Deciduous transient,NA
SSP1-RCP2.6,98,Direct conifer recovery,0.6933959537004852
SSP1-RCP2.6,98,Deciduous transient,NA
SSP1-RCP2.6,99,Direct conifer recovery,0.7013778516617362
SSP1-RCP2.6,99,Deciduous transient,NA
SSP1-RCP2.6,100,Direct conifer recovery,0.7089685710518651
SSP1-RCP2.6,100,Deciduous transient,NA
SSP1-RCP2.6,101,Direct conifer recovery,0.7177399029098688
SSP1-RCP2.6,101,Deciduous transient,NA
SSP1-RCP2.6,102,Direct conifer recovery,0.7273481716251966
SSP1-RCP2.6,102,Deciduous transient,NA
SSP1-RCP2.6,103,Direct conifer recovery,0.7362251729109902
SSP1-RCP2.6,103,Deciduous transient,NA
SSP1-RCP2.6,104,Direct conifer recovery,0.7447907538179979
SSP1-RCP2.6,104,Deciduous transient,NA
SSP1-RCP2.6,105,Direct conifer recovery,0.7530777655924604
SSP1-RCP2.6,105,Deciduous transient,NA
SSP1-RCP2.6,106,Direct conifer recovery,0.7628299543618579
SSP1-RCP2.6,106,Deciduous transient,NA
SSP1-RCP2.6,107,Direct conifer recovery,0.770998052130152
SSP1-RCP2.6,107,Deciduous transient,NA
SSP1-RCP2.6,108,Direct conifer recovery,0.7822498433167117
SSP1-RCP2.6,108,Deciduous transient,NA
SSP1-RCP2.6,109,Direct conifer recovery,0.7899078179052995
SSP1-RCP2.6,109,Deciduous transient,NA
SSP1-RCP2.6,110,Direct conifer recovery,0.7970994628217731
SSP1-RCP2.6,110,Deciduous transient,NA
SSP1-RCP2.6,111,Direct conifer recovery,0.8066893092665224
SSP1-RCP2.6,111,Deciduous transient,NA
SSP1-RCP2.6,112,Direct conifer recovery,0.815517942514026
SSP1-RCP2.6,112,Deciduous transient,NA
SSP1-RCP2.6,113,Direct conifer recovery,0.8270454752530514
SSP1-RCP2.6,113,Deciduous transient,NA
SSP1-RCP2.6,114,Direct conifer recovery,0.8414188997530044
SSP1-RCP2.6,114,Deciduous transient,NA
SSP1-RCP2.6,115,Direct conifer recovery,0.8510967519637048
SSP1-RCP2.6,115,Deciduous transient,NA
SSP1-RCP2.6,116,Direct conifer recovery,0.8601909769048333
SSP1-RCP2.6,116,Deciduous transient,NA
SSP1-RCP2.6,117,Direct conifer recovery,0.8674779780425692
SSP1-RCP2.6,117,Deciduous transient,NA
SSP1-RCP2.6,118,Direct conifer recovery,0.8706601286045996
SSP1-RCP2.6,118,Deciduous transient,NA
SSP1-RCP2.6,119,Direct conifer recovery,0.8773587677499041
SSP1-RCP2.6,119,Deciduous transient,NA
SSP1-RCP2.6,120,Direct conifer recovery,0.8922024475723201
SSP1-RCP2.6,120,Deciduous transient,NA
SSP1-RCP2.6,121,Direct conifer recovery,0.9012565095258523
SSP1-RCP2.6,121,Deciduous transient,NA
SSP1-RCP2.6,122,Direct conifer recovery,0.8953291192026418
SSP1-RCP2.6,122,Deciduous transient,NA
SSP1-RCP2.6,123,Direct conifer recovery,0.9130793527292902
SSP1-RCP2.6,123,Deciduous transient,NA
SSP1-RCP2.6,124,Direct conifer recovery,0.9234096833447819
SSP1-RCP2.6,124,Deciduous transient,NA
SSP1-RCP2.6,125,Direct conifer recovery,0.954158325742703
SSP1-RCP2.6,125,Deciduous transient,NA
SSP5-RCP8.5,0,Direct conifer recovery,0
SSP5-RCP8.5,0,Deciduous transient,0
SSP5-RCP8.5,1,Direct conifer recovery,0
SSP5-RCP8.5,1,Deciduous transient,0
SSP5-RCP8.5,2,Direct conifer recovery,0.035016349991145744
SSP5-RCP8.5,2,Deciduous transient,0.05003680853658019
SSP5-RCP8.5,3,Direct conifer recovery,0.05610439912084362
SSP5-RCP8.5,3,Deciduous transient,0.07717606607848819
SSP5-RCP8.5,4,Direct conifer recovery,0.08325211664244946
SSP5-RCP8.5,4,Deciduous transient,0.0998416703313124
SSP5-RCP8.5,5,Direct conifer recovery,0.11068580689391135
SSP5-RCP8.5,5,Deciduous transient,0.11079951973618309
SSP5-RCP8.5,6,Direct conifer recovery,0.12795368714545743
SSP5-RCP8.5,6,Deciduous transient,0.12155465170213223
SSP5-RCP8.5,7,Direct conifer recovery,0.13933528746661325
SSP5-RCP8.5,7,Deciduous transient,0.13749203556727344
SSP5-RCP8.5,8,Direct conifer recovery,0.14583359436660626
SSP5-RCP8.5,8,Deciduous transient,0.15739707912167045
SSP5-RCP8.5,9,Direct conifer recovery,0.1487209886827019
SSP5-RCP8.5,9,Deciduous transient,0.18144976630294676
SSP5-RCP8.5,10,Direct conifer recovery,0.15711652789129715
SSP5-RCP8.5,10,Deciduous transient,0.2083230300990224
SSP5-RCP8.5,11,Direct conifer recovery,0.16445890309416145
SSP5-RCP8.5,11,Deciduous transient,0.23672147244991407
SSP5-RCP8.5,12,Direct conifer recovery,0.17738705040668318
SSP5-RCP8.5,12,Deciduous transient,0.26597688871040803
SSP5-RCP8.5,13,Direct conifer recovery,0.188741729452884
