s,age,PFT,relative_mean
Control,54,Needleleaf evergreen,0.33137587274077035
Control,55,Non-tree V.,0.22906028763864858
Control,55,Temperate broadleaf,0.008646568191148361
Control,55,Conifers (other),0.23679724546284212
Control,55,Pioneering broadleaf,0.1907928132359526
Control,55,Needleleaf evergreen,0.3347030854714107
Control,56,Non-tree V.,0.2214068807111736
Control,56,Temperate broadleaf,0.00877036088514788
Control,56,Conifers (other),0.2381305863286492
Control,56,Pioneering broadleaf,0.19373585300017018
Control,56,Needleleaf evergreen,0.33795631907485824
Control,57,Non-tree V.,0.21485417553446845
Control,57,Temperate broadleaf,0.008903457177940466
Control,57,Conifers (other),0.2386578458271362
Control,57,Pioneering broadleaf,0.19668727724306095
Control,57,Needleleaf evergreen,0.3408972442173921
Control,58,Non-tree V.,0.20728479022839383
Control,58,Temperate broadleaf,0.009037347555316788
Control,58,Conifers (other),0.2399098106310357
Control,58,Pioneering broadleaf,0.19959033569230727
Control,58,Needleleaf evergreen,0.3441777158929478
Control,59,Non-tree V.,0.199920931616177
Control,59,Temperate broadleaf,0.009172301520650218
Control,59,Conifers (other),0.24100934723752787
Control,59,Pioneering broadleaf,0.2024643219429151
Control,59,Needleleaf evergreen,0.3474330976827307
Control,60,Non-tree V.,0.19286960677532936
Control,60,Temperate broadleaf,0.009315354353664847
Control,60,Conifers (other),0.24209708273030253
Control,60,Pioneering broadleaf,0.20527176853761428
Control,60,Needleleaf evergreen,0.350446187603088
Control,61,Non-tree V.,0.18581713401149028
Control,61,Temperate broadleaf,0.009450315459730622
Control,61,Conifers (other),0.24311945671932422
Control,61,Pioneering broadleaf,0.20804470712791395
Control,61,Needleleaf evergreen,0.3535683866815413
Control,62,Non-tree V.,0.18022454003625968
Control,62,Temperate broadleaf,0.00958323163737714
Control,62,Conifers (other),0.24325592327263595
Control,62,Pioneering broadleaf,0.21076788439781508
Control,62,Needleleaf evergreen,0.3561684206559123
Control,63,Non-tree V.,0.1734024105048298
Control,63,Temperate broadleaf,0.00972250291022958
Control,63,Conifers (other),0.24431972373418126
Control,63,Pioneering broadleaf,0.2133455267664028
Control,63,Needleleaf evergreen,0.359209836084355
Control,64,Non-tree V.,0.16704732157913854
Control,64,Temperate broadleaf,0.009862018433313495
Control,64,Conifers (other),0.24506941397094242
Control,64,Pioneering broadleaf,0.21597191265680185
Control,64,Needleleaf evergreen,0.3620493333598021
Control,65,Non-tree V.,0.16082265180744038
Control,65,Temperate broadleaf,0.00999789088729094
Control,65,Conifers (other),0.24579448794319309
Control,65,Pioneering broadleaf,0.2185578365379287
Control,65,Needleleaf evergreen,0.3648271328241496
Control,66,Non-tree V.,0.15492012408415162
Control,66,Temperate broadleaf,0.010140225160387723
Control,66,Conifers (other),0.24635374292971493
Control,66,Pioneering broadleaf,0.22113631550257176
Control,66,Needleleaf evergreen,0.3674495923231719
Control,67,Non-tree V.,0.15031979433697
Control,67,Temperate broadleaf,0.010279352825974242
Control,67,Conifers (other),0.2463225272753862
Control,67,Pioneering broadleaf,0.2234823395886857
Control,67,Needleleaf evergreen,0.3695959859729856
Control,68,Non-tree V.,0.14488340319188087
Control,68,Temperate broadleaf,0.01042395871426968
Control,68,Conifers (other),0.2467146560082703
Control,68,Pioneering broadleaf,0.22583701062099854
Control,68,Needleleaf evergreen,0.3721409714645818
Control,69,Non-tree V.,0.13945068039927982
Control,69,Temperate broadleaf,0.010556281979700528
Control,69,Conifers (other),0.2472580151694072
Control,69,Pioneering broadleaf,0.22812648619918388
Control,69,Needleleaf evergreen,0.37460853625242685
Control,70,Non-tree V.,0.13444001958317636
Control,70,Temperate broadleaf,0.010695864343083868
Control,70,Conifers (other),0.2476257029726027
Control,70,Pioneering broadleaf,0.23036940260789437
Control,70,Needleleaf evergreen,0.3768690104932433
Control,71,Non-tree V.,0.12967794955649597
Control,71,Temperate broadleaf,0.01084013396424074
Control,71,Conifers (other),0.24794270690792378
Control,71,Pioneering broadleaf,0.23249593636593896
Control,71,Needleleaf evergreen,0.37904327320540193
Control,72,Non-tree V.,0.12643909346605597
Control,72,Temperate broadleaf,0.010978751000611289
Control,72,Conifers (other),0.24731403576010344
Control,72,Pioneering broadleaf,0.23460292145187445
Control,72,Needleleaf evergreen,0.3806651983213518
Control,73,Non-tree V.,0.12219395399805193
Control,73,Temperate broadleaf,0.011125091144281708
Control,73,Conifers (other),0.2474176703834481
Control,73,Pioneering broadleaf,0.23664885850960712
Control,73,Needleleaf evergreen,0.3826144259646106
Control,74,Non-tree V.,0.11832234520950594
Control,74,Temperate broadleaf,0.011266151810675225
Control,74,Conifers (other),0.24719736512368723
Control,74,Pioneering broadleaf,0.23873184666289057
Control,74,Needleleaf evergreen,0.38448229119324
Control,75,Non-tree V.,0.11496709038505827
Control,75,Temperate broadleaf,0.011407097829964257
Control,75,Conifers (other),0.24693074013367639
Control,75,Pioneering broadleaf,0.240627729777902
Control,75,Needleleaf evergreen,0.38606734187340097
Control,76,Non-tree V.,0.1119487444515337
Control,76,Temperate broadleaf,0.011550540866638762
Control,76,Conifers (other),0.24653185946894282
Control,76,Pioneering broadleaf,0.24244345181889734
Control,76,Needleleaf evergreen,0.3875254033939896
Control,77,Non-tree V.,0.11038637897742837
Control,77,Temperate broadleaf,0.011687000278647717
Control,77,Conifers (other),0.24526753809775154
Control,77,Pioneering broadleaf,0.24427735014390448
Control,77,Needleleaf evergreen,0.3883817325022703
Control,78,Non-tree V.,0.10741964681620259
Control,78,Temperate broadleaf,0.011836429610536053
Control,78,Conifers (other),0.2448749428645691
Control,78,Pioneering broadleaf,0.2459588270293525
Control,78,Needleleaf evergreen,0.38991015367933723
Control,79,Non-tree V.,0.10500894717536244
Control,79,Temperate broadleaf,0.011980842390534988
Control,79,Conifers (other),0.24435132051128755
Control,79,Pioneering broadleaf,0.2476181115945814
Control,79,Needleleaf evergreen,0.3910407783282317
Control,80,Non-tree V.,0.10264849769028936
Control,80,Temperate broadleaf,0.012133572788026055
Control,80,Conifers (other),0.24387693258681012
Control,80,Pioneering broadleaf,0.24918876337751739
Control,80,Needleleaf evergreen,0.39215223355735623
Control,81,Non-tree V.,0.10043958547533878
Control,81,Temperate broadleaf,0.012265439170061112
Control,81,Conifers (other),0.24332817302059093
Control,81,Pioneering broadleaf,0.25060962733021847
Control,81,Needleleaf evergreen,0.39335717500378964
Control,82,Non-tree V.,0.0997340282300098
Control,82,Temperate broadleaf,0.012399132538267457
Control,82,Conifers (other),0.24204126758077654
Control,82,Pioneering broadleaf,0.25206032233287345
Control,82,Needleleaf evergreen,0.39376524931807266
Control,83,Non-tree V.,0.097902240993328
Control,83,Temperate broadleaf,0.012525136813724727
Control,83,Conifers (other),0.24145574030005132
Control,83,Pioneering broadleaf,0.25348200798521764
Control,83,Needleleaf evergreen,0.3946348739076786
Control,84,Non-tree V.,0.09660439233955898
Control,84,Temperate broadleaf,0.012668360008682183
Control,84,Conifers (other),0.2407684989382349
Control,84,Pioneering broadleaf,0.25473901523816106
Control,84,Needleleaf evergreen,0.39521973347536393
Control,85,Non-tree V.,0.09547834430238633
Control,85,Temperate broadleaf,0.012809404592290841
Control,85,Conifers (other),0.2399329947141213
Control,85,Pioneering broadleaf,0.25598626193760843
Control,85,Needleleaf evergreen,0.39579299445359467
Control,86,Non-tree V.,0.09414096946018677
Control,86,Temperate broadleaf,0.01294652050320113
Control,86,Conifers (other),0.2392576187366162
Control,86,Pioneering broadleaf,0.25716465802288113
Control,86,Needleleaf evergreen,0.3964902332771157
Control,87,Non-tree V.,0.0944247685381408
Control,87,Temperate broadleaf,0.013059469088991542
Control,87,Conifers (other),0.23790609459797943
Control,87,Pioneering broadleaf,0.258199643489904
Control,87,Needleleaf evergreen,0.39641002428498556
Control,88,Non-tree V.,0.09331272459590122
Control,88,Temperate broadleaf,0.013180353245593268
Control,88,Conifers (other),0.23709527988338497
Control,88,Pioneering broadleaf,0.2592322812380694
Control,88,Needleleaf evergreen,0.3971793610370529
Control,89,Non-tree V.,0.09305716933422169
Control,89,Temperate broadleaf,0.013293939617799141
Control,89,Conifers (other),0.2361218458145846
