age,PFT_long,relative_mean,s
13,IBS,0.15506941202555896,SSP1-RCP2.6
13,TeBS,0.006834345571822624,SSP1-RCP2.6
13,Tundra,0.5774586204324909,SSP1-RCP2.6
13,otherC,0.1560629075121835,SSP1-RCP2.6
14,BNE,0.11434087045221955,SSP1-RCP2.6
14,IBS,0.17164021357275538,SSP1-RCP2.6
14,TeBS,0.007832559187105211,SSP1-RCP2.6
14,Tundra,0.5414114596194901,SSP1-RCP2.6
14,otherC,0.16477489716842983,SSP1-RCP2.6
15,BNE,0.12371434805883819,SSP1-RCP2.6
15,IBS,0.1885104148811159,SSP1-RCP2.6
15,TeBS,0.00886901857207492,SSP1-RCP2.6
15,Tundra,0.5061202075887714,SSP1-RCP2.6
15,otherC,0.1727860108991996,SSP1-RCP2.6
16,BNE,0.13315285603337584,SSP1-RCP2.6
16,IBS,0.2054546871418725,SSP1-RCP2.6
