"Lon" "Lat" "Year" "BNE" "BINE" "BNS" "IBS" "TeBS" "TeNE" "C3G" "HSE" "HSS" "LSE" "LSS" "GRT" "EPDS" "SPDS" "CLM" "Total"
-90.25 49.75 2005 3.89 0.711 0 0.016 0 0 0.051 0 0.031 0.003 0.007 0 0 0 0 4.709
-86.75 50.75 2005 3.498 0.411 0 0.002 0 0 0.038 0 0.02 0.002 0.004 0 0 0 0 3.974
-82.75 48.75 2005 3.663 0.611 0 0.022 0 0 0.061 0 0.036 0.003 0.009 0 0 0 0 4.405
-77.25 49.25 2005 2.454 0.273 0 0.186 0 0 0.078 0 0.123 0.002 0.007 0 0 0 0 3.124
-73.25 51.75 2005 1.003 0.032 0 0 0 0 0.082 0 0.007 0.003 0.005 0 0 0 0 1.133
-66.75 50.25 2005 3.463 0.202 0 0.002 0 0 0.086 0 0.018 0.003 0.007 0 0 0 0 3.78
-59.25 47.75 2005 6.803 2.089 0 0.004 0.017 0 0.032 0.007 0.015 0 0 0 0 0 0 8.968
13.25 62.75 2005 1.897 0.044 0 0 0 0 0.081 0.029 0.014 0.004 0.007 0 0 0 0 2.075
19.75 64.75 2005 3.374 0.256 0 0.001 0 0 0.054 0.027 0.019 0.001 0.002 0 0 0 0 3.734
25.25 65.75 2005 3.829 0.788 0 0.006 0 0 0.049 0.039 0.046 0.003 0.009 0 0 0 0 4.769
28.75 62.75 2005 4.472 0.674 0 0.012 0 0 0.072 0.021 0.039 0.006 0.015 0 0 0 0 5.312
32.25 62.25 2005 3.848 0.235 0 0.004 0 0 0.057 0.014 0.019 0.002 0.007 0 0 0 0 4.187
35.25 63.75 2005 2.999 0.153 0 0.001 0 0 0.056 0.013 0.009 0.002 0.004 0 0 0 0 3.236
39.25 57.75 2005 2.852 0.186 0 2.294 1.781 0 0.03 0.007 0.061 0.001 0.005 0 0 0 0 7.215
42.75 56.75 2005 5.123 0.081 0 1.891 0.001 0 0.081 0.007 0.04 0.002 0.007 0 0 0 0 7.232
45.75 62.25 2005 2.618 0.411 0 1.215 0 0 0.079 0 0.188 0.001 0.004 0 0 0 0 4.516
48.75 64.25 2005 1.901 0.075 0 0.001 0 0 0.06 0 0.01 0.002 0.007 0 0 0 0 2.056
51.75 62.75 2005 2.656 0.137 0 0.001 0 0 0.058 0 0.007 0.002 0.005 0 0 0 0 2.865
54.75 67.25 2005 0.637 0.054 0 0.001 0 0 0.234 0 0.022 0.003 0.006 0 0 0 0 0.957
58.25 62.75 2005 2.289 0.244 0 0.039 0 0 0.087 0 0.069 0.001 0.004 0 0 0 0 2.733
61.25 61.75 2005 2.463 0.545 0 0.941 0 0 0.08 0 0.122 0.001 0.005 0 0 0 0 4.159
64.75 59.75 2005 3.936 0.669 0 0.006 0 0 0.041 0 0.03 0.002 0.005 0 0 0 0 4.689
68.25 59.75 2005 2.585 0.172 0 1.761 0 0 0.049 0 0.132 0 0.003 0 0 0 0 4.701
71.25 65.75 2005 0.819 0.036 0 0.001 0 0 0.245 0 0.015 0.003 0.006 0 0 0 0 1.125
75.25 60.75 2005 2.029 0.168 0 0.001 0 0 0.081 0 0.016 0.001 0.005 0 0 0 0 2.303
78.75 64.75 2005 0.824 0.044 0 0.002 0 0 0.18 0 0.022 0.003 0.008 0 0 0 0 1.083
83.25 58.75 2005 2.352 0.435 0 0.505 0 0 0.072 0 0.093 0.004 0.011 0 0 0 0 3.472
92.25 57.25 2005 2.267 0.251 0 3.446 0 0 0.069 0 0.042 0.002 0.005 0 0 0 0 6.082
101.25 54.75 2005 3.382 1.208 0 1.845 0 0 0.027 0 0.024 0 0.001 0 0 0 0 6.488
112.25 51.75 2005 2.86 1.31 0 0.32 0 0 0.058 0 0.037 0.005 0.012 0 0 0 0 4.601
138.75 51.25 2005 2.088 0.758 0 0.143 0 0 0.033 0 0.117 0.002 0.005 0 0 0 0 3.145
152.25 59.75 2005 0.213 0.02 0 0.001 0 0 0.109 0 0.068 0.017 0.035 0 0 0 0 0.463
39.75 58.25 2005 4.2 0.321 0 2.859 0 0 0.051 0.005 0.081 0 0.001 0 0 0 0 7.517
78.25 57.25 2005 2.587 0.086 0 2.919 0 0 0.02 0 0.1 0 0.001 0 0 0 0 5.714
136.25 52.25 2005 1.781 0.062 1.996 0.653 0 0 0.017 0 0.044 0.002 0.005 0 0 0 0 4.559
-162.75 62.75 2005 0.478 0.018 0 0.001 0 0 0.226 0 0.016 0.008 0.013 0 0 0 0 0.758
-155.75 61.25 2005 2.168 0.207 0 0.001 0 0 0.075 0 0.012 0.002 0.004 0 0 0 0 2.468
-150.75 60.75 2005 4.797 1.926 0 0.015 0 0 0.01 0.036 0.057 0.001 0.002 0 0 0 0 6.845
-136.75 62.25 2005 5.818 1.87 0 0.001 0 0 0.014 0 0.009 0 0 0 0 0 0 7.712
-128.25 59.25 2005 4.304 0.43 0 0 0 0 0.02 0 0.007 0.001 0.001 0 0 0 0 4.762
-123.25 58.25 2005 5.443 2.842 0 0.435 0 0 0.041 0 0.044 0.003 0.006 0 0 0 0 8.815
-118.25 60.75 2005 2.876 0.758 0 1.474 0 0 0.075 0 0.105 0.004 0.011 0 0 0 0 5.303
-113.25 58.75 2005 3.93 1.941 0 1.625 0 0 0.012 0 0.039 0.002 0.004 0 0 0 0 7.554
-108.75 56.75 2005 3.958 1.716 0 0.227 0 0 0.03 0 0.043 0.001 0.003 0 0 0 0 5.977
-104.25 59.25 2005 1.438 0.07 0 0 0 0 0.083 0 0.019 0.004 0.011 0 0 0 0 1.625
-98.25 54.25 2005 3.055 0.644 0 1.126 0 0 0.031 0 0.048 0.003 0.008 0 0 0 0 4.914
-93.75 50.25 2005 3.018 0.567 0 1.649 0 0 0.02 0 0.173 0.002 0.007 0 0 0 0 5.436
-90.25 50.25 2005 3.714 0.574 0 0.012 0 0 0.052 0 0.023 0.001 0.002 0 0 0 0 4.379
-86.75 51.25 2005 2.554 0.43 0 0.343 0 0 0.037 0 0.113 0.002 0.005 0 0 0 0 3.484
-82.75 49.25 2005 3.167 0.359 0 0.015 0 0 0.08 0 0.049 0.004 0.01 0 0 0 0 3.682
-77.25 49.75 2005 2.293 0.529 0 0.295 0 0 0.077 0 0.103 0.003 0.008 0 0 0 0 3.308
-73.25 52.25 2005 0.768 0.043 0 0 0 0 0.096 0 0.005 0.004 0.007 0 0 0 0 0.923
-66.75 50.75 2005 1.501 0.058 0 0.002 0 0 0.112 0 0.016 0.003 0.007 0 0 0 0 1.699
-59.25 50.75 2005 3.448 0.176 0 0.002 0 0 0.074 0.012 0.017 0.003 0.007 0 0 0 0 3.739
13.25 63.25 2005 1.729 0.018 0 0 0 0 0.085 0.007 0.003 0.002 0.005 0 0 0 0 1.849
19.75 65.25 2005 4.063 0.198 0 0 0 0 0.037 0.021 0.015 0 0.002 0 0 0 0 4.336
25.25 66.25 2005 4.561 0.4 0 0 0 0 0.024 0 0 0 0.001 0 0 0 0 4.986
28.75 63.25 2005 4.297 0.471 0 0.016 0 0 0.048 0.019 0.045 0.001 0.005 0 0 0 0 4.903
32.25 62.75 2005 4.031 0.347 0 0.006 0 0 0.035 0.035 0.039 0.001 0.003 0 0 0 0 4.496
35.25 64.25 2005 3.385 0.26 0 0.002 0 0 0.063 0.028 0.021 0.003 0.008 0 0 0 0 3.772
39.25 58.25 2005 3.685 0.253 0 3.974 0 0 0.055 0.017 0.082 0.001 0.004 0 0 0 0 8.071
42.75 57.75 2005 5.575 0.159 0 1.371 0 0 0.038 0.001 0.016 0.001 0.003 0 0 0 0 7.164
45.75 62.75 2005 2.594 0.312 0 0.331 0 0 0.11 0 0.194 0.004 0.014 0 0 0 0 3.56
48.75 64.75 2005 2.385 0.419 0 0.101 0 0 0.125 0 0.067 0.001 0.004 0 0 0 0 3.101
51.75 63.25 2005 2.013 0.073 0 0.001 0 0 0.062 0 0.012 0.002 0.005 0 0 0 0 2.168
55.25 57.75 2005 3.268 0.395 0 2.605 0 0 0.042 0 0.069 0 0.002 0 0 0 0 6.38
58.25 63.25 2005 1.435 0.091 0 0.009 0 0 0.22 0 0.056 0.004 0.013 0 0 0 0 1.828
61.25 62.25 2005 2.613 0.422 0 0.332 0 0 0.093 0 0.082 0 0.002 0 0 0 0 3.544
64.75 60.25 2005 2.284 0.178 0 2.068 0 0 0.049 0 0.182 0.002 0.009 0 0 0 0 4.772
68.25 60.25 2005 2.417 0.639 0 0.76 0 0 0.071 0 0.126 0.003 0.008 0 0 0 0 4.022
71.25 66.25 2005 1.592 0.08 0 0.001 0 0 0.148 0 0.015 0.002 0.004 0 0 0 0 1.841
75.25 61.25 2005 1.926 0.227 0 0.003 0 0 0.112 0 0.029 0.003 0.01 0 0 0 0 2.309
78.75 65.25 2005 0.055 0.023 0 0.001 0 0 0.222 0 0.032 0.004 0.012 0 0 0 0 0.349
83.25 59.25 2005 2.624 0.425 0 0.004 0 0 0.081 0 0.018 0.002 0.009 0 0 0 0 3.163
92.25 57.75 2005 2.074 0.18 0 1.815 0 0 0.09 0 0.153 0.004 0.012 0 0 0 0 4.327
101.25 55.25 2005 2.33 0.682 0 3.603 0 0 0.042 0 0.079 0.002 0.007 0 0 0 0 6.745
112.25 52.25 2005 2.472 1.447 0 0.381 0 0 0.049 0 0.041 0.004 0.009 0 0 0 0 4.403
138.75 51.75 2005 1.921 0.11 0 0.001 0 0 0.066 0 0.018 0.003 0.008 0 0 0 0 2.127
152.75 59.25 2005 1.027 0.112 0 0 0 0 0.057 0 0.012 0.007 0.007 0 0 0 0 1.222
40.25 57.25 2005 2.103 0.179 0 2.668 2.085 0 0.027 0.025 0.145 0.002 0.01 0 0 0 0 7.245
78.75 57.75 2005 2.731 0.421 0 1.883 0 0 0.029 0 0.088 0.002 0.005 0 0 0 0 5.159
136.75 52.25 2005 2.055 0.054 0.743 0.262 0 0 0.022 0 0.133 0.002 0.009 0 0 0 0 3.28
-162.25 55.25 2005 3.208 0.108 0 0 0 0 0.062 0.155 0.013 0.006 0.005 0 0 0 0 3.557
-155.75 61.75 2005 2.52 0.3 0 0.003 0 0 0.102 0 0.013 0.004 0.01 0 0 0 0 2.951
-150.75 61.25 2005 6.369 0.506 0 0.003 0 0 0.026 0.013 0.016 0.002 0.004 0 0 0 0 6.938
-136.75 62.75 2005 3.963 0.58 0 0.004 0 0 0.036 0 0.023 0.004 0.007 0 0 0 0 4.617
-128.25 59.75 2005 5.078 3.46 0 0.08 0 0 0.015 0 0.005 0 0 0 0 0 0 8.639
-123.25 58.75 2005 4.057 1.843 0 1.204 0 0 0.053 0 0.11 0.006 0.015 0 0 0 0 7.287
-118.25 61.25 2005 4.035 1.042 0 0.751 0 0 0.015 0 0.045 0.001 0.004 0 0 0 0 5.894
-113.25 59.25 2005 3.633 1.62 0 1.393 0 0 0.02 0 0.019 0 0.001 0 0 0 0 6.686
-108.75 57.25 2005 3.998 0.397 0 0.002 0 0 0.031 0 0.012 0.002 0.005 0 0 0 0 4.446
-103.75 53.75 2005 4.136 0.436 0 2.343 0 0 0.019 0 0.071 0.002 0.005 0 0 0 0 7.012
-98.25 54.75 2005 2.566 0.538 0 0.193 0 0 0.05 0 0.128 0.004 0.014 0 0 0 0 3.493
-93.75 50.75 2005 3.969 0.422 0 1.298 0 0 0.026 0 0.051 0.003 0.007 0 0 0 0 5.777
-90.25 50.75 2005 2.347 0.493 0 0.011 0 0 0.065 0 0.06 0.004 0.01 0 0 0 0 2.99
-86.75 51.75 2005 2.605 0.356 0 0.107 0 0 0.056 0 0.034 0.003 0.007 0 0 0 0 3.167
-82.75 49.75 2005 3.076 0.52 0 0.75 0 0 0.066 0 0.041 0.004 0.012 0 0 0 0 4.469
-77.25 50.25 2005 2.082 0.113 0 0.001 0 0 0.08 0 0.009 0.003 0.007 0 0 0 0 2.296
-73.25 52.75 2005 0.531 0.039 0 0.001 0 0 0.114 0 0.014 0.005 0.01 0 0 0 0 0.712
-66.75 51.25 2005 0.596 0.049 0 0 0 0 0.082 0 0.01 0.003 0.007 0 0 0 0 0.746
-59.25 51.25 2005 2.422 0.087 0 0.002 0 0 0.076 0.007 0.015 0.003 0.006 0 0 0 0 2.618
13.25 63.75 2005 2.069 0.031 0 0 0 0 0.078 0.009 0.004 0.003 0.006 0 0 0 0 2.2
19.75 65.75 2005 3.3 0.168 0 0.002 0 0 0.056 0.029 0.025 0.002 0.005 0 0 0 0 3.587
25.25 66.75 2005 3.586 0.301 0 0.002 0 0 0.051 0.013 0.014 0.002 0.006 0 0 0 0 3.976
28.75 63.75 2005 2.288 0.629 0 1.543 0 0 0.084 0.014 0.177 0.003 0.01 0 0 0 0 4.747
32.25 63.25 2005 2.819 0.155 0 0.001 0 0 0.064 0.022 0.019 0.002 0.006 0 0 0 0 3.088
35.25 66.75 2005 3.505 0.135 0 0 0 0 0.031 0.011 0.005 0 0.001 0 0 0 0 3.689
39.25 58.75 2005 4.546 0.296 0 1.231 0 0 0.034 0.033 0.143 0.003 0.011 0 0 0 0 6.297
42.75 58.25 2005 3.703 0.251 0 2.338 0 0 0.056 0.018 0.09 0.004 0.012 0 0 0 0 6.472
45.75 63.25 2005 2.957 0.488 0 0.255 0 0 0.098 0 0.064 0.003 0.011 0 0 0 0 3.876
48.75 65.25 2005 2.493 0.214 0 0.018 0 0 0.087 0 0.044 0.002 0.005 0 0 0 0 2.863
51.75 63.75 2005 2.418 0.514 0 0.177 0 0 0.106 0 0.089 0.002 0.01 0 0 0 0 3.316
55.25 58.75 2005 3.308 0.612 0 0.78 0 0 0.063 0 0.098 0 0.002 0 0 0 0 4.862
58.25 63.75 2005 1.234 0.099 0 0.004 0 0 0.207 0 0.04 0.003 0.008 0 0 0 0 1.596
61.25 62.75 2005 2.614 0.607 0 0.168 0 0 0.115 0 0.036 0.001 0.003 0 0 0 0 3.545
64.75 60.75 2005 2.348 0.358 0 2.203 0 0 0.052 0 0.089 0.001 0.005 0 0 0 0 5.056
68.25 60.75 2005 2.579 0.256 0 1.138 0 0 0.062 0 0.095 0.001 0.004 0 0 0 0 4.135
71.75 58.25 2005 2.576 0.118 0 1.962 0 0 0.038 0 0.115 0.001 0.006 0 0 0 0 4.816
75.25 61.75 2005 1.824 0.254 0 0.005 0 0 0.138 0 0.022 0.002 0.006 0 0 0 0 2.252
78.75 65.75 2005 0.074 0.025 0 0 0 0 0.163 0 0.028 0.004 0.011 0 0 0 0 0.306
83.25 59.75 2005 2.043 0.218 0 0.917 0 0 0.082 0 0.049 0.001 0.004 0 0 0 0 3.315
92.25 58.25 2005 2.059 0.315 0 2.691 0 0 0.054 0 0.133 0.001 0.006 0 0 0 0 5.259
